Index,Name,Count
1,$BTC,20081
2,$ETH,11848
3,$SOL,9896
4,$SHIB,6092
5,$XRP,6078
6,$PEPE,5493
7,$ADA,5475
8,$DOGE,4230
9,$USDT,3395
10,$WIF,3315
11,$PARAM,3282
12,$DOT,2908
13,$BUBBLE,2842
14,$FET,2839
15,$RNDR,2760
16,$BEYOND,2504
17,$LINK,2497
18,$BNB,2425
19,$FLOKI,2339
20,$INJ,2132
21,$XEC,2080
22,$TRIP,1919
23,$BONK,1791
24,$GME,1749
25,$NVDA,1727
26,$COOKIE,1705
27,$MOJO,1639
28,$KAS,1636
29,$BRETT,1603
30,$TON,1600
31,$TAO,1533
32,$TSLA,1533
33,$DOG,1497
34,$ENA,1488
35,$NEAR,1433
36,$btc,1398
37,$BLOCK,1342
38,$HBAR,1307
39,$AR,1290
40,$ROSE,1269
41,$NOT,1249
42,$NAKA,1227
43,$SPY,1181
44,$AMC,1156
45,$ONDO,1132
46,$MAGA,1086
47,$RIO,1066
48,$W,1032
49,$AVAX,1019
50,$FTM,1015
51,$VRA,969
52,$PEOPLE,967
53,$LTC,956
54,$MATIC,951
55,$PENDLE,945
56,$HIGH,914
57,$ARB,912
58,$BKKT,905
59,$TIA,877
60,$MACRO,876
61,$XMR,869
62,$RUNE,854
63,$ETC,839
64,$QNT,830
65,$VELO,826
66,$AAPL,811
67,$ORDI,811
68,$PORK,800
69,$WLD,774
70,$SPX,767
71,$ASI,760
72,$JASMY,759
73,$UNI,757
74,$OM,749
75,$USDC,744
76,$MEW,725
77,$BNX,714
78,$AGIX,707
79,$LDO,685
80,$BOME,683
81,$TRIAS,682
82,$BCH,674
83,$OCEAN,664
84,$TRB,658
85,$ORAI,646
86,$SOMO,638
87,$USD,636
88,$LPT,625
89,$NIO,617
90,$SUI,614
91,$JUP,611
92,$OP,606
93,$Doge,603
94,$ICP,593
95,$COIN,585
96,$pepe,561
97,$TRX,561
98,$TRU,551
99,$CREAM,548
100,$GBTC,544
101,$PAAL,541
102,$ATOR,538
103,$XTER,537
104,$eth,536
105,$FRONT,533
106,$STX,531
107,$AKT,531
108,$PONKE,531
109,$LUNC,530
110,$MYRO,525
111,$GALA,525
112,$QQQ,523
113,$MARA,523
114,$SAGA,523
115,$MKR,522
116,$ATOM,522
117,$TRUMP,520
118,$CHZ,519
119,$PAXG,505
120,$TNSR,502
121,$APU,502
122,$SNAP,493
123,$CORE,487
124,$DIONE,486
125,$ZIG,486
126,$AMD,484
127,$BB,481
128,$META,471
129,$LEO,469
130,$OMNI,463
131,$AAVE,462
132,$QUBIC,458
133,$BOBO,456
134,$ETHFI,454
135,$SEI,452
136,$doge,451
137,$JTO,448
138,$POLYX,447
139,$ISP,445
140,$POPCAT,444
141,$DAG,442
142,$DXY,440
143,$VET,432
144,$sol,426
145,$WMT,425
146,$BDX,424
147,$XDC,421
148,$ZK,420
149,$TOKEN,419
150,$RLC,415
151,$ENS,414
152,$REZ,414
153,$ZEUS,410
154,$IMX,409
155,$PROPS,408
156,$GT,403
157,$IBIT,400
158,$BGB,398
159,$ALGO,396
160,$DUKO,392
161,$STRK,392
162,$EWT,388
163,$WBTC,388
164,$GHX,387
165,$EGLD,387
166,$DJT,387
167,$TURBO,384
168,$HOOD,383
169,$AMZN,383
170,$COTI,380
171,$PHB,380
172,$MSFT,377
173,$PROPC,376
174,$AZERO,376
175,$ARKM,374
176,$SSV,373
177,$nub,372
178,$MANEKI,371
179,$BYTE,363
180,$FLR,363
181,$PYTH,362
182,$NPC,362
183,$BABA,361
184,$DYM,361
185,$UPO,360
186,$MX,359
187,$IO,358
188,$xrp,357
189,$AEVO,352
190,$APT,351
191,$PIXIZ,351
192,$ARC,350
193,$CKB,350
194,$MSTR,349
195,$CCL,345
196,$ANDY,330
197,$BICO,329
198,$LUNA,329
199,$GMX,329
200,$GRT,329
201,$WTK,326
202,$BLZ,325
203,$LEVER,322
204,$CSIX,320
205,$DROIDS,320
206,$XCHNG,318
207,$HNT,316
208,$BEL,311
209,$SOFI,311
210,$DEGEN,310
211,$Crypto,307
212,$FIL,306
213,$PRE,305
214,$EDU,305
215,$KCS,304
216,$THETA,302
217,$BASE,298
218,$NMT,298
219,$LSK,298
220,$RSR,297
221,$DADDY,297
222,$MEME,296
223,$MOG,294
224,$XLM,294
225,$NOIA,291
226,$SC,290
227,$GLM,289
228,$UMA,287
229,$MNT,285
230,$PLS,283
231,$NEO,283
232,$CHR,280
233,$KNC,280
234,$CRO,279
235,$CLSK,276
236,$GAL,274
237,$LINGO,271
238,$BEAM,270
239,$DUSK,269
240,$ATH,269
241,$BODEN,268
242,$MON,267
243,$WOO,265
244,$PYR,265
245,$AI,264
246,$WEST,262
247,$FRIEND,262
248,$WEN,261
249,$TARA,259
250,$ONG,259
251,$TET,257
252,$CREDI,257
253,$Pepe,257
254,$VANRY,254
255,$MUMU,253
256,$AIOZ,252
257,$CRV,252
258,$ALT,250
259,$ZEC,248
260,$PIXEL,247
261,$OAX,246
262,$GOOGL,246
263,$METIS,244
264,$xlm,242
265,$ALPH,241
266,$SFP,241
267,$ZRO,239
268,$DEAI,238
269,$STG,237
270,$MANTA,236
271,$BITF,236
272,$LAI,236
273,$ATA,236
274,$ORN,235
275,$CHO,235
276,$PLTR,233
277,$KUJI,232
278,$BOLT,231
279,$HEX,230
280,$FARM,230
281,$ONT,229
282,$YGG,229
283,$NEURAL,229
284,$UNFI,228
285,$TRUF,228
286,$Roxy,228
287,$SHC,228
288,$PORTAL,227
289,$VGX,227
290,$michi,227
291,$SAFE,227
292,$MCRT,226
293,$RWA,223
294,$SAND,222
295,$TEL,221
296,$DYDX,221
297,$CAT,221
298,$FTT,221
299,$SLERF,220
300,$AXS,220
301,$link,220
302,$IWM,220
303,$ERN,219
304,$WAN,218
305,$LAND,218
306,$AXL,218
307,$TFUEL,218
308,$wif,216
309,$MINA,216
310,$SNEK,216
311,$DELL,216
312,$pork,214
313,$ROOST,213
314,$FDUSD,210
315,$BONE,209
316,$NAI,209
317,$MOTHER,209
318,$PNDC,207
319,$EIGEN,207
320,$FISH,205
321,$LMWR,205
322,$UBXS,205
323,$FURY,205
324,$FLUX,203
325,$AERO,202
326,$fet,202
327,$XAI,202
328,$SUSHI,201
329,$SMCI,201
330,$TRAC,200
331,$BLAST,200
332,$inj,199
333,$FMT,199
334,$SI,198
335,$GUMMY,198
336,$DBC,198
337,$AUCTION,197
338,$PUPO,197
339,$MERL,197
340,$COS,196
341,$DKNG,196
342,$NAVI,196
343,$SYN,196
344,$SNX,194
345,$ASTRA,192
346,$CAKE,192
347,$Sol,190
348,$BLENDR,190
349,$ZERO,190
350,$HASHAI,190
351,$XSWAP,189
352,$AE,189
353,$GTC,189
354,$GMRX,188
355,$LNQ,188
356,$SOLO,188
357,$PUPS,187
358,$ESE,186
359,$DASH,184
360,$ZRX,184
361,$DSYNC,184
362,$XVG,183
363,$AUDIO,183
364,$WOJAK,183
365,$APE,183
366,$DRIFT,182
367,$GBPT,181
368,$BTG,180
369,$ASR,180
370,$GNO,180
371,$IDEA,180
372,$SMH,179
373,$JAM,179
374,$SHX,179
375,$MTL,179
376,$BEER,179
377,$OSMO,178
378,$GHST,177
379,$XMEME,177
380,$LTO,176
381,$RCL,176
382,$LCID,176
383,$USTC,175
384,$velo,175
385,$ETHBTC,175
386,$OPSEC,175
387,$SPEC,175
388,$COQ,174
389,$CODEX,174
390,$GOOG,173
391,$BA,173
392,$QI,173
393,$SKR,173
394,$NIM,172
395,$ING,171
396,$NXRA,171
397,$CHUCKY,170
398,$CREO,169
399,$CIFR,169
400,$FBTC,169
401,$MODE,169
402,$NYAN,168
403,$CEL,168
404,$HYMC,168
405,$NCLH,168
406,$GLXY,168
407,$MICHI,168
408,$WULF,167
409,$RIOT,166
410,$PYPL,166
411,$SPOT,166
412,$SUPER,165
413,$HUND,165
414,$PROPY,165
415,$BAKE,164
416,$AVA,164
417,$ENJ,164
418,$REI,163
419,$rndr,163
420,$MAN,162
421,$PENN,162
422,$JBLU,162
423,$TWT,162
424,$CPOOL,161
425,$AIT,161
426,$PRCL,161
427,$ICE,161
428,$SCRT,159
429,$SPACE,159
430,$NFLX,158
431,$SAVE,158
432,$SOON,158
433,$TAI,157
434,$COST,157
435,$WOLF,157
436,$EOS,157
437,$RBN,156
438,$BBIG,156
439,$THREE,156
440,$SANTOS,156
441,$GLE,155
442,$CTF,155
443,$ZETA,154
444,$AMPL,154
445,$PAC,153
446,$WAVES,153
447,$shx,152
448,$ABT,152
449,$VOXEL,151
450,$CEI,151
451,$BBBY,151
452,$ARM,151
453,$IOI,150
454,$MANA,150
455,$______,149
456,$GLQ,149
457,$TRADE,149
458,$ALICE,149
459,$ACH,148
460,$AKRO,148
461,$GPU,147
462,$GLMR,147
463,$BOB,147
464,$SOIL,146
465,$CMG,146
466,$LIME,146
467,$NEXO,146
468,$JPM,146
469,$CAW,145
470,$TLOS,145
471,$GOL,145
472,$CYBER,144
473,$DMTR,144
474,$TOWER,144
475,$BLUR,144
476,$SVTN,143
477,$OLT,143
478,$BIFI,142
479,$TOSHI,142
480,$Btc,142
481,$MU,142
482,$BMX,142
483,$PINS,142
484,$POWR,142
485,$EVERY,141
486,$CSWAP,141
487,$qnt,141
488,$TABOO,141
489,$Rndr,140
490,$XTZ,140
491,$DOGS,140
492,$ACE,139
493,$DUEL,136
494,$CFX,136
495,$PIKA,136
496,$MAGIC,135
497,$SKL,135
498,$Hex,135
499,$Orai,135
500,$JST,135
501,$METFI,135
502,$GMT,134
503,$PERP,134
504,$ONE,134
505,$SHT,134
506,$COSMIC,134
507,$CHUCK,134
508,$JOE,133
509,$shib,133
510,$ALTS,133
511,$PBUX,132
512,$SP500,132
513,$MASA,132
514,$woo,131
515,$KMNO,131
516,$GPT,131
517,$BETA,131
518,$FNSA,131
519,$LIKE,130
520,$BTT,130
521,$TATSU,130
522,$NUB,130
523,$AGLD,130
524,$Tao,130
525,$ILV,130
526,$PEIPEI,130
527,$OCTA,129
528,$CWIF,129
529,$FIRO,128
530,$tsuka,128
531,$ada,128
532,$algo,128
533,$ARK,128
534,$WBT,128
535,$JENNER,128
536,$ANKR,127
537,$LFT,127
538,$CSPR,127
539,$KLAY,127
540,$SON,127
541,$IOTX,126
542,$BROCK,124
543,$PHA,124
544,$SAKAI,124
545,$PUSH,124
546,$BSV,123
547,$TREMP,123
548,$BTF,123
549,$RAY,122
550,$SSNC,122
551,$STC,122
552,$YAI,122
553,$DNX,122
554,$FOXY,121
555,$SHOP,121
556,$MPLX,121
557,$RTF,121
558,$WSM,121
559,$DAI,120
560,$KNINE,120
561,$BRN,120
562,$ALEPH,120
563,$NFP,119
564,$ZERC,119
565,$CTK,118
566,$TPET,118
567,$KOIN,118
568,$ULTI,118
569,$CWH,118
570,$LUIS,118
571,$WORK,117
572,$OUSD,117
573,$GTAI,116
574,$SERSH,116
575,$ZCX,116
576,$MPC,115
577,$DIS,115
578,$AIX,115
579,$TGT,115
580,$LYX,115
581,$MXC,115
582,$RARE,114
583,$bonk,113
584,$FOMO,113
585,$IREN,113
586,$WETH,113
587,$AMP,113
588,$ERG,112
589,$NORMIE,112
590,$XAUT,112
591,$MUBI,112
592,$LISTA,112
593,$KDA,111
594,$CHONKY,111
595,$EUR,111
596,$bolt,111
597,$BULL,110
598,$GFI,110
599,$RWN,110
600,$STAR,110
601,$ELF,110
602,$VOLT,110
603,$LTD,110
604,$KLIMA,109
605,$ATR,109
606,$ID,109
607,$NTRN,108
608,$VETME,108
609,$LEOX,108
610,$POND,107
611,$STETH,107
612,$AFRM,107
613,$SNOW,107
614,$BVM,107
615,$PBR,107
616,$ELON,106
617,$OPUL,106
618,$STRIKE,106
619,$XCUR,106
620,$BIAO,106
621,$usdt,105
622,$ZEPH,105
623,$OOKI,104
624,$SYS,104
625,$azero,104
626,$MONG,104
627,$OPTI,104
628,$ZKHIVE,104
629,$HYVE,104
630,$AVGO,104
631,$CCD,104
632,$CITY,104
633,$PUNDIX,104
634,$FSLR,104
635,$KARRAT,104
636,$FTN,104
637,$RICY,103
638,$CGPT,103
639,$rose,103
640,$SQ,103
641,$_______,103
642,$MXI,102
643,$PDA,102
644,$LRC,102
645,$PALAI,101
646,$NMR,101
647,$MFER,100
648,$hbar,100
649,$PROM,99
650,$MAG,99
651,$GFT,99
652,$SOV,99
653,$BANANA,99
654,$CQT,99
655,$FLY,98
656,$IX,98
657,$SUKU,98
658,$BAD,98
659,$MAV,98
660,$PDD,98
661,$RDNT,97
662,$LEASH,97
663,$floki,97
664,$IOTA,97
665,$MDT,97
666,$DODO,96
667,$BRAD,96
668,$AGRS,96
669,$CRM,96
670,$STRUMP,95
671,$mlt,95
672,$PRO,95
673,$XRD,95
674,$CACAO,94
675,$RON,94
676,$DGI,94
677,$ORDS,94
678,$KHAI,94
679,$ABNB,94
680,$CELO,94
681,$OKB,94
682,$Bonk,94
683,$EOSE,94
684,$VIC,94
685,$CATA,94
686,$people,94
687,$RET,93
688,$bob,93
689,$CVX,93
690,$INTC,93
691,$S,93
692,$GOG,93
693,$STEEM,93
694,$ZDAI,93
695,$CTA,93
696,$DEXE,92
697,$rio,92
698,$XNA,92
699,$LCX,92
700,$Floki,92
701,$CAH,92
702,$ARKB,91
703,$pndc,91
704,$VIX,91
705,$CFG,91
706,$HIP,91
707,$Shib,90
708,$XCAD,90
709,$popcat,90
710,$WING,90
711,$TSM,90
712,$AA,90
713,$CHEX,90
714,$BLOCX,90
715,$PIX,90
716,$API3,90
717,$RVF,89
718,$YFI,89
719,$NIBI,89
720,$HUT,89
721,$MOVR,89
722,$RETIK,89
723,$QORPO,88
724,$alts,88
725,$AGC,88
726,$WLTH,88
727,$INTRO,88
728,$XWG,88
729,$BRISE,88
730,$KARCON,88
731,$Theta,88
732,$BWB,88
733,$GEM,88
734,$BAC,88
735,$ROUTE,87
736,$xtz,87
737,$DJI,87
738,$CBK,87
739,$REDO,87
740,$TOOKER,87
741,$RPL,86
742,$FIDA,86
743,$SPA,86
744,$trx,86
745,$SVPN,86
746,$PRIME,86
747,$SE,86
748,$CHEQ,86
749,$QUACK,86
750,$PET,86
751,$OGN,85
752,$Eth,85
753,$DIA,85
754,$AERGO,85
755,$OEX,85
756,$CTXC,85
757,$NGL,85
758,$PINK,84
759,$SIDUS,84
760,$RACA,84
761,$EXVG,84
762,$MOLLY,83
763,$BIP,83
764,$EGO,83
765,$EMC,83
766,$CHAT,83
767,$BOND,83
768,$MERY,83
769,$bnb,82
770,$SATS,82
771,$PSG,82
772,$WBNB,82
773,$mew,82
774,$KIP,82
775,$APP,82
776,$CVNA,82
777,$BCCOIN,82
778,$NKN,81
779,$SHIDO,81
780,$vra,81
781,$CORZ,81
782,$Andy,81
783,$NULS,81
784,$ZKS,81
785,$CAVA,81
786,$PFE,81
787,$ZACK,81
788,$dione,80
789,$XVS,80
790,$LLY,80
791,$Hobbes,80
792,$PYUSD,80
793,$PENG,79
794,$TROLL,79
795,$LQTY,79
796,$PANW,79
797,$MBOX,79
798,$BNRY,79
799,$PDAI,79
800,$GAS,79
801,$ADS,78
802,$DYP,78
803,$DOLAN,78
804,$BOSON,78
805,$WIT,78
806,$_____,78
